ID,Free Time Activities,Successful_Project,Recognition_Awards,Easy_Tasks,Feedback_Talent,Learn_Improve_Skill,Problem_Solving,Energizing_Tasks,Talents
9,"Cooking, Gaming, Writing",Baked a multi-tiered wedding cake from scratch,Featured in a pottery exhibition at a local gallery,Finds knitting stitch patterns intuitive,Used creative problem-solving to overcome writer's block,Excelled in Design and Music classes,Finds writing in a cozy cafe with ambient noise inspiring,baking,sculpting
6,"Gaming, Reading",Won first place in a regional eSports tournament,"Received ""Knitter of the Year"" Award",Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,Excelled in Ceramics and Geography classes,Participating in gaming competitions with friends,,pottery
10,"Photography, Hiking, Playing Piano",Contributed code to an open-source project used by thousands,Received accolades for clean and modern design styleDesign and Music classes,Dancing feels effortless and joyful,Used creative problem-solving to overcome writer's block,Excelled in Dance and Physical Education classes,Finds cooking to be a creative outlet,sculpting,writing
5,"Gaming, Reading",Baked a multi-tiered wedding cake from scratch,Received accolades for clean and modern design styleDesign and Music classes,Has an eye for composition and lighting,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds writing in a cozy cafe with ambient noise inspiring,writing,pottery
8,"Programming, Writing, Hiking",Published a collection of short stories,Received recognition from the project maintainers,Dancing feels effortless and joyful,Used creative problem-solving to overcome writer's block,Excelled in Ceramics and Geography classes,Experimenting with machine learning algorithms,Dancing,Programming
1,"Gaming, Reading",Painted a landscape with vibrant colors,Received applause for creativity and coordination,Finds decorating cakes with intricate designs effortless,Solved a difficult level puzzle by devising a unique strategy,Excelled in Design and Music classes,Participating in gaming competitions with friends,"Programming, Writing",Gaming
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Received recognition for innovative cooking techniques,Finds knitting stitch patterns intuitive,Used creative problem-solving to overcome writer's block,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,writing,Programming
6,"Painting,cooking , playing musical instrument",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Finds knitting stitch patterns intuitive,Solved a difficult level puzzle by devising a unique strategy,,Participating in gaming competitions with friends,Gaming,painting
10,"Pottery, Cooking, Traveling",Published a collection of short stories,Received accolades for photography portfolio,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to salvage a baking mishap,,Finds sculpting outdoors surrounded by nature inspiring,Dancing,Dancing
10,"Cooking, Gaming, Writing",Created a set of handcrafted ceramic mugs,Received accolades for photography portfolio,Has a natural talent for shaping clay,Used creative problem-solving to overcome writer's block,Excelled in Photography and Music classes,Finds dancing to favorite music uplifting,knitting,Dancing
22,"Writing, Dancing, Photography",Contributed code to an open-source project used by thousands,Received accolades for clean and modern design styleDesign and Music classes,Quickly adapts to new gaming mechanics,Used creative problem-solving to overcome writer's block,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",Programming
6,"Pottery, Cooking, Traveling",Published a collection of short stories,Received accolades for clean and modern design styleDesign and Music classes,Painting comes naturally to me,Solved a difficult level puzzle by devising a unique strategy,Excelled in Ceramics and Geography classes,Excelled in Art classes,"Programming, Writing",baking
13,"Graphic Designing, Cooking, Playing Guitar",Choreographed a dance routine for a school talent show,Received accolades for clean and modern design styleDesign and Music classes,Has an eye for composition and lighting,Used creative problem-solving to overcome writer's block,Excelled in Textile Arts classes,Finds dancing to favorite music uplifting,Dancing,Graphic Designing
16,"Cooking, Gaming, Writing",Contributed code to an open-source project used by thousands,Best Artist of the Year,Finds knitting stitch patterns intuitive,Solved a cooking disaster by salvaging the meal creatively,Excelled in Ceramics and Geography classes,Participating in gaming competitions with friends,Exploring new painting techniques and styles,Gaming
7,"Graphic Designing, Cooking, Playing Guitar",Published a collection of short stories,Received recognition for innovative cooking techniques,Finds knitting stitch patterns intuitive,Solved a difficult level puzzle by devising a unique strategy,,Participating in gaming competitions with friends,Gaming,Gaming
22,"Photography, Hiking, Playing Piano",Captured breathtaking landscapes during a hiking trip,Received recognition for realistic sculpting style,Dancing feels effortless and joyful,Used creative problem-solving to overcome writer's block,Excelled in Ceramics and Geography classes,Finds dancing to favorite music uplifting,"Cooking, Gaming",Gaming
10,"Knitting, Reading, Hiking",Contributed code to an open-source project used by thousands,"Received ""Knitter of the Year"" Award",Has an eye for composition and lighting,Used creative problem-solving to overcome writer's block,Excelled in Computer Science and English classes,Finds designing album covers for bands inspiring,"Cooking, Gaming",baking
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Featured in a pottery exhibition at a local gallery,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",writing
22,"Gaming, Reading",Painted a landscape with vibrant colors,Best Artist of the Year,Finds breaking down complex problems into manageable tasks easy,Solved a performance hiccup by improvising on stage,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,Exploring new painting techniques and styles,painting
6,"Cooking, Gaming, Writing",Published a collection of short stories,Featured in a pottery exhibition at a local gallery,Dancing feels effortless and joyful,Used design thinking to improve website navigation,Excelled in Art and History classes,Finds writing in a cozy cafe with ambient noise inspiring,pottery,baking
5,"Gaming, Reading",Created a set of handcrafted ceramic mugs,Received applause for creativity and coordination,Painting comes naturally to me,Used creative problem-solving to overcome writer's block,,Finds pottery workshops with fellow artists stimulating,Exploring new painting techniques and styles,pottery
